holding_days,confidence_threshold,stop_loss,take_profit,total_trades,win_rate,avg_return,total_return,sharpe_ratio,max_drawdown,profit_factor,calmar_ratio,score
1,0.55,0.03,0.1,131,0.7709923664122137,0.06935611909343257,9.085651601239668,1.2648883037361174,0.08732699999999996,11.09516844582185,0.7942116309209363,0.6168248654845674
1,0.55,0.03,0.15,131,0.7709923664122137,0.10714237863541734,14.035651601239671,1.406213425541795,0.08732700000000013,16.59516844582185,1.226910103810015,0.6459098978839369
1,0.55,0.03,0.2,131,0.7709923664122137,0.14492863817740204,18.985651601239667,1.4842770478529232,0.0873270000000001,22.095168445821848,1.6596085766990951,0.6697231386587609
1,0.55,0.03,0.3,131,0.7709923664122137,0.22050115726137154,28.885651601239672,1.567741833623224,0.0873270000000002,33.09516844582185,2.5250055224772527,0.7112944153040789
1,0.55,0.05,0.1,131,0.7709923664122137,0.06477596642167686,8.485651601239669,1.0248605310419907,0.14262500000000009,6.657101067493109,0.45416979086188836,0.5749261774910281
1,0.55,0.05,0.15,131,0.7709923664122137,0.1025622259636616,13.43565160123967,1.2135768141467806,0.14262500000000003,9.95710106749311,0.7191041259503003,0.6012499078199638
1,0.55,0.05,0.2,131,0.7709923664122137,0.1403484855056463,18.385651601239665,1.32498795418404,0.1426250000000001,13.257101067493107,0.9840384610387112,0.6211315428932718
1,0.55,0.05,0.3,131,0.7709923664122137,0.2159210045896158,28.28565160123967,1.4502910239939635,0.14262500000000022,19.857101067493105,1.5139071312155334,0.652768212184505
1,0.55,0.08,0.1,131,0.7709923664122137,0.05793372723592622,7.589318267906335,0.7649066392706987,0.22131199999999987,4.167054500447767,0.26177399886100283,0.5337644714967185
1,0.55,0.08,0.15,131,0.7709923664122137,0.09571998677791096,12.539318267906337,0.9870107689922842,0.22131199999999981,6.232710363571985,0.43251150763587626,0.5591026493245121
1,0.55,0.08,0.2,131,0.7709923664122137,0.1335062463198957,17.489318267906334,1.128182578130586,0.22131199999999984,8.298366226696201,0.6032490164107495,0.5776964671036989
1,0.55,0.08,0.3,131,0.7709923664122137,0.20907876540386516,27.389318267906337,1.2968632583231448,0.22131199999999984,12.429677952944637,0.9447240339604961,0.6054121911550687
1,0.55,0.1,0.1,131,0.7709923664122137,0.05350624631989569,7.009318267906335,0.6378494138126083,0.27828999999999987,3.3550178971574636,0.19226794466166844,0.5118494272072376
1,0.55,0.1,0.15,131,0.7709923664122137,0.09129250586188044,11.959318267906337,0.8687632808679635,0.2709999999999999,5.018138067389292,0.3368727153574925,0.5379699402896834
1,0.55,0.1,0.2,131,0.7709923664122137,0.12907876540386515,16.909318267906336,1.021147978554739,0.27099999999999996,6.68125823762112,0.4763054073943364,0.5562459727783885
1,0.55,0.1,0.3,131,0.7709923664122137,0.20465128448783465,26.809318267906338,1.2092733945416707,0.2709999999999999,10.007498578084778,0.7551707914680248,0.583077706140247
1,0.6,0.03,0.1,79,0.7088607594936709,0.06070445064860337,4.795651601239666,1.0250103407961766,0.08732700000000021,7.950219711941548,0.6951395404468632,0.5773392498909736
1,0.6,0.03,0.15,79,0.7088607594936709,0.09488166583847682,7.495651601239669,1.1526819106132902,0.08732700000000013,11.863263190202417,1.0865100809426258,0.6036333689955635
1,0.6,0.03,0.2,79,0.7088607594936709,0.12905888102835023,10.195651601239668,1.2228173897319623,0.0873270000000001,15.776306668463285,1.4778806214383877,0.6251328138752834
1,0.6,0.03,0.3,79,0.7088607594936709,0.19741331140809715,15.595651601239675,1.2974071738493616,0.08732700000000018,23.602393624985023,2.26062170242991,0.6626582724580609
1,0.6,0.05,0.1,79,0.7088607594936709,0.054881665838476826,4.335651601239669,0.803886412057041,0.14262500000000014,4.770131827164929,0.3847969559227118,0.538203852448413
1,0.6,0.05,0.15,79,0.7088607594936709,0.08905888102835026,7.03565160123967,0.97566105115108,0.1426250000000002,7.117957914121449,0.6244268608473279,0.5621036019032342
1,0.6,0.05,0.2,79,0.7088607594936709,0.12323609621822358,9.735651601239663,1.0767659607811613,0.14262500000000017,9.46578400107797,0.8640567657719435,0.5801142072360589
1,0.6,0.05,0.3,79,0.7088607594936709,0.1915905265979705,15.135651601239669,1.1900595782345447,0.1426250000000001,14.161436174991014,1.3433165756211767,0.6087257344178102
1,0.6,0.08,0.1,79,0.7088607594936709,0.04619390212539666,3.6493182679063363,0.564648423187514,0.22131199999999998,2.987285315614268,0.20872750743473767,0.49942152543643337
1,0.6,0.08,0.15,79,0.7088607594936709,0.0803711173152701,6.349318267906337,0.7675085436307167,0.22131199999999993,4.457606608044836,0.3631575211252445,0.5225037360209872
1,0.6,0.08,0.2,79,0.7088607594936709,0.11454833250514349,9.049318267906335,0.8962829207545215,0.2213119999999999,5.927927900475403,0.5175875348157513,0.5394121346622579
1,0.6,0.08,0.3,79,0.7088607594936709,0.18290276288489035,14.449318267906339,1.0497720277277987,0.22131199999999984,8.868570485336539,0.8264475621967651,0.5645572946719383
1,0.6,0.1,0.1,79,0.7088607594936709,0.0406242818722321,3.209318267906336,0.44867462995641544,0.2782899999999999,2.4098630551645925,0.14597823088228865,0.47870037160507717
1,0.6,0.1,0.15,79,0.7088607594936709,0.07480149706210555,5.909318267906339,0.6597076152701401,0.271,3.595981081229902,0.2760202843620131,0.5025816358537433
1,0.6,0.1,0.2,79,0.7088607594936709,0.1089787122519789,8.609318267906334,0.798853631502471,0.27099999999999996,4.7820991072952115,0.40213546956449786,0.5192217446145369
